Fornitore;P.IVA;Fattura;Descrizione;Data Emissione;Data Scadenza;Importo Totale;Importo Pagato;Residuo;Stato;Fonte
BERGAMELLI SRL;00487540163;N001397;;2024-06-30;2024-08-10;643.06;0.00;643.06;scaduto;excel
BERGAMELLI SRL;00487540163;N001616;;2024-07-31;2024-09-10;1381.35;0.00;1381.35;scaduto;excel
EDILNOVA s.r.l.;01885350163;771;;2024-10-31;2024-12-30;392.84;0.00;392.84;scaduto;excel
INTESA HOME SRL;03823990167;365;;2024-12-16;2025-01-16;7000.00;0.00;7000.00;scaduto;excel
P&P LMC SRL;02787860168;1432B;;2025-12-12;2025-01-31;361.17;0.00;361.17;scaduto;excel
ANDREA LOSA GIARDINI S.R.L.;04565760164;153;;2024-12-21;2025-02-19;1390.80;0.00;1390.80;scaduto;excel
GMG CENTROEDILE S.R.L.;02978470165;SOTT0001599;;2024-12-31;2025-03-10;3575.00;0.00;3575.00;scaduto;excel
Met Energia Italia SpA;09985750968;VE25-090247;;2025-03-14;2025-03-31;1163.22;0.00;1163.22;scaduto;verificato
Pc Genesi di Bosio Ferruccio;03591700160;FPR15/25;;2025-03-31;2025-03-31;57.20;0.00;57.20;scaduto;excel
ECOBERG SRL;04767530167;173;;2025-03-31;2025-03-31;573.77;0.00;573.77;scaduto;excel
RBP SRL;01632720163;159;;2025-03-31;2025-03-31;3159.26;0.00;3159.26;scaduto;verificato
Belloli Attilio;03720430168;proforme in attesa di ricezione;;2025-03-24;2025-04-16;31681.01;0.00;31681.01;scaduto;excel
Lanfranchi Marco;03155290160;502/A;;2025-04-30;2025-04-30;180.56;0.00;180.56;scaduto;verificato
LEADERS SRL;02798910168;PROF 234;;2025-05-16;2025-05-16;3669.14;0.00;3669.14;scaduto;excel
Salvetti srl;00186780169;182/I;;2025-05-26;2025-05-26;35000.00;0.00;35000.00;scaduto;verificato
Salvetti srl;00186780169;185/I;;2025-05-26;2025-05-26;5000.00;0.00;5000.00;scaduto;verificato
Lanfranchi Marco;03155290160;410/A;;2025-03-31;2025-05-30;1660.42;0.00;1660.42;scaduto;verificato
Lanfranchi Marco;03155290160;637/A;;2025-05-31;2025-05-31;890.60;0.00;890.60;scaduto;verificato
COSTRUZIONI EDILI ALMICI SRL;04612930984;7;;2025-02-17;2025-06-02;3500.00;0.00;3500.00;scaduto;verificato
LEADERS SRL;02798910168;PROF 487;;2025-07-28;2025-07-28;4760.86;0.00;4760.86;scaduto;excel
RBP SRL;01632720163;192;;2025-04-30;2025-08-10;4452.29;0.00;4452.29;scaduto;verificato
RBP SRL;01632720163;264;;2025-05-30;2025-09-10;51.92;0.00;51.92;scaduto;verificato
SYSTEM PROJECT S.R.L.;01953160163;2301/00;;2025-07-31;2025-09-30;408.19;0.00;408.19;scaduto;verificato
RBP SRL;01632720163;348;;2025-06-30;2025-10-10;36.60;0.00;36.60;scaduto;verificato
RBP SRL;01632720163;353;;2025-06-30;2025-10-10;364.54;0.00;364.54;scaduto;verificato
Edilcommercio s.r.l.;00938390168;2108/2025;;2025-10-15;2025-10-15;1064.95;0.00;1064.95;scaduto;verificato
Cortinovis Gianluigi;02285760167;55;;2025-11-07;2025-11-07;572.32;0.00;572.32;scaduto;excel
BELLINI E ASSOCIATI STUDIO DI INGEGNERIA;03381140163;230/25;;2025-01-03;2025-11-16;372.13;0.00;372.13;scaduto;excel
Consit Mangili Sibella Srl;01504230168;346;;2025-11-17;2025-11-17;1098.00;0.00;1098.00;scaduto;excel
